#KEY	ui32	00 00 07 3a
AC-B	si8 	ff
AC-C	flag	00
AC-E	flag	00
AC-F	ui8 	00
AC-I	ui16	01 0e
AC-J	ui16	00 00
AC-M	hex_	02 02
AC-N	ui8 	03
AC-P	ui8 	00
AC-Q	ui8 	00
AC-R	ui8 	00
AC-S	flag	01
AC-T	ui8 	00
AC-U	flag	00
AC-W	si8 	01
AC-X	hex_	00 00
ACAP	ui8 	01
ACBI	hex_	01 00 00 00 00 01 00 00
ACCF	ui8 	1e
ACCP	ui8 	01
ACDB	hex_	11 01
ACDI	ui16	d6 06
ACDL	hex_	00
ACEC	hex_	00 00 00 00 00 00 00 00
ACFP	flag	01
ACID	ui8 	00
ACIE	ui32	00 00 00 00
ACLC	ui8 	04
ACLM	ui32	00 00 00 00
ACMg	ui8 	03
ACPK	ui8 	00
ACPO	ui32	00 00 00 00
ACPW	ui32	b8 88 00 00
ACSt	hex_	17 03 00 00
ACVS	ui8 	00
ACpt	ui8 	02
ADBA	ui32	00 00 00 00
ANWP	ui8 	03
AOPb	ui64	00 e1 e6 ed 02 00 00 00
AP-N	ui8 	02
AP1A		
AP1F	si16	00 00
AP1I	si16	00 00
AP1P	ui16	00 00
AP1S	ui8 	00
AP1V	si16	00 00
AP1i	ui16	00 00
AP1p	ui32	00 00 00 00
AP1q	ui32	00 00 00 00
AP1u	si16	00 00
AP1v	ui16	00 00
AP2A		
AP2F	si16	00 00
AP2I	si16	00 00
AP2P	ui16	00 00
AP2S	ui8 	00
AP2V	si16	00 00
AP2i	ui16	00 00
AP2p	ui32	00 00 00 00
AP2q	ui32	00 00 00 00
AP2u	si16	00 00
AP2v	ui16	00 00
ARSD	hex_	00 00 00
ARSP	hex_	00 00 00
ATC0		
ATC1		
ATC2		
ATP0		
ATP1		
ATP2		
B0AC	si16	46 fe
B0AP	si32	a3 ea ff ff
B0AT	ui16	f0 0b
B0AV	ui16	56 30
B0BL	ui16	00 00
B0CA	ui16	00 00
B0CH	si16	00 00
B0CI	hex_	74 54 00 00
B0CM	ui8 	64
B0CS	ui16	00 00
B0CT	ui16	9b 00
B0CU	ui16	e8 03
B0DC	ui16	d3 11
B0FC	ui16	02 11
B0FG	hex_	01 00 00 01 00 00 00 00
B0FH	hex_	01 02 f8 7f 00 00 00 00
B0FI	hex_	c0 00
B0FV	hex_	02 00 00 00
B0HM	ui16	00 00
B0I2	si16	00 00
B0IF	si16	00 00
B0IM	si16	00 00
B0IS	hex_	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
B0IV	si16	46 fe
B0MS	ui16	00 00
B0MT	ui16	44 00
B0NC	ui16	81 11
B0OC	si16	00 00
B0OS	hex_	c3 e4
B0OV	ui16	00 00
B0PS	hex_	00 00
B0QD	ui16	00 00
B0QS	si16	00 00
B0R1	hex_	00 bc 00 3d 00 3c 00 42 00 7a 00 39 00 41 00 44 00 4d 00 57 00 57 00 69 00 a3 01 2a 01 fd 00 00
B0R2	hex_	00 c3 00 3e 00 3b 00 4b 00 88 00 45 00 58 00 4b 00 59 00 6b 00 6b 00 71 00 b4 01 67 02 62 00 00
B0R3	hex_	00 e1 00 44 00 42 00 4e 00 8a 00 42 00 51 00 51 00 56 00 65 00 6f 00 72 00 9a 01 3d 02 2b 00 00
B0RC	ui16	7f 00
B0RI	ui16	61 15
B0RM	ui16	3a 0d
B0RS	si16	00 00
B0RV	ui16	9f 33
B0S1	si16	00 00
B0SR	si16	00 00
B0SS	ui16	00 00
B0TC	si16	00 00
B0TE	ui16	21 02
B0TF	ui16	ff ff
B0TI	ui32	ff ff 00 00
B0Ti	ui32	00 00 00 00
B0UC	ui16	51 00
B1AT	ui16	3f 01
B1SS	ui16	00 00
B1TI	flt 	00 00 20 41
B1WI	flt 	00 00 20 41
B2AT	ui16	44 01
BAAC	si64	d7 c0 fd ff ff ff ff ff
BACC	ui64	38 c0 00 00 00 00 00 00
BAPS	flag	01
BAST	hex_	00 00 00 00 00 00 00 00 00 c3 e4 00 02 44 03 00 02
BBAD	flag	00
BC1V	ui16	1d 10
BC2V	ui16	1e 10
BC3V	ui16	1b 10
BCF0	hex_	00
BCFP	ui32	00 00 00 00
BCFQ	ui8 	01
BCFR	hex_	00
BCFW	hex_	00
BCHT	hex_	00
BCMV	ui16	1e 10
BCMW	ui16	1b 10
BCSS	ui8 	00
BDAQ	ui16	00 00
BDBI	hex_	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
BDD1	ui8 	17
BDD2	ui8 	17
BDD3	ui8 	17
BFC1	ui16	02 11
BFC2	ui16	02 11
BFCT	ui16	00 00
BFLO	ui8 	00
BFLV	ui8 	00
BFS0	ui64	02 00 00 00 00 00 00 00
BFWC	ui16	cc 25
BIMX	ui16	c5 43
BIPD	ui16	44 00
BISS	si16	91 fe
BITV	ui16	28 23
BL0A	hex_	03 4a 34 3d 00 0a 35 87 00 00 00 00 00 00 00 00 03 54 69 c4 00 00 c7 e6 40 92 00 00 00 00 00 00
BL0B	hex_	00 27 00 07 11 55 0e 11 33 fc 2a 4a 14 e2 f3 f3 19 c5 f0 8e f4 a1 f2 4f 00 f2 00 03 c9 db 00 01
BL0C	hex_	52 11 55 11 55 11 00 00 20 0e 14 0e 11 0e ff 7f 51 00 fc 33 4a 2a e2 14 f3 f3 a1 f4
BL0D	hex_	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
BLCC	ui16	8e 00
BLCM	si16	11 0e
BLCR	ui8 	00
BLCX	si16	55 11
BLH0	ui32	00 00 00 00
BLH1	ui32	da 00 00 00
BLH2	ui32	1e 00 00 00
BLH3	ui32	00 00 00 00
BLIC	si16	e2 14
BLID	si16	f3 f3
BLPM	si16	4a 2a
BLPX	si16	fc 33
BLTA	si16	f2 00
BLTM	si16	07 00
BLTO	ui32	9d 3c 00 00
BLTP		
BLTS	si32	db c9 03 00
BLTX	si16	27 00
BMCD	ui16	00 00
BMDA	ch8*	00 00 00 00 0b 00 01 00 62 15 00 00 04 32 32 31 33 03 30 30 42 03 43 4f 53 00 21 00 00 00 00 00
BMDB	ch8*	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
BMDN	ch8*	62 71 34 30 7a 36 35 31 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
BMDT	ch8*	33 32 31 30 30 37 00
BMSC	ui8 	50
BMSN	ch8*	46 35 44 34 34 31 32 30 30 36 43 31 33 51 47 43 45 00 00 00 00
BMW1	ch8*	00 00 00 00
BMW2	ch8*	00 00 00 00
BNCB	si8 	03
BNSC	ui8 	38
BNUM	ui8 	01
BPCC	hex_	01 01
BQCC	si16	e1 ff
BQD1	ui16	50 0f
BQD2	ui16	50 0f
BQD3	ui16	50 0f
BQX1	ui16	3a 12
BQX2	ui16	33 12
BQX3	ui16	36 12
BR00	ui16	e1 00
BR01	ui16	44 00
BR02	ui16	42 00
BR03	ui16	4e 00
BR04	ui16	8a 00
BR05	ui16	42 00
BR06	ui16	51 00
BR07	ui16	51 00
BR08	ui16	56 00
BR09	ui16	65 00
BR0C	ui16	00 00
BR0W	ui16	4f 00
BR10	ui16	6f 00
BR11	ui16	72 00
BR12	ui16	9a 00
BR13	ui16	3d 01
BR14	ui16	2b 02
BR1W	ui16	4f 00
BR2W	ui16	58 00
BR3W	ui16	5c 00
BRC0	ui32	00 00 00 00
BRC1	ui32	00 00 00 00
BROS	ui32	00 00 00 00
BRSC	ui8 	4e
BSFC	flag	00
BT0C	flag	01
BT0L	flag	01
BT0V	flag	01
BTHC	ui8 	00
BTHW	ui8 	00
BTIL	ui32	3b 0c 00 00
BTRA	hex_	10 10 10 10 10 10 19 19 19 19 10 55 32 32 19 10 78 64 46 2d 00 00 00 00 00
BTRO	ui8 	00
BTRS	ui8 	64
BTRT	flt 	33 33 33 3f
BTSI	ui32	3b 0c 00 00
BTSV	ui32	bd 10 00 00
BTTA	hex_	0c 00 0f 00 14 00 2d 00 00 00
BTTC	ui8 	05
BTTI	ui8 	03
BTTS	flag	00
BTVA	hex_	b8 0b 27 10 59 10 bd 10 53 11
BTVC	ui8 	05
BTVI	ui8 	03
BTVL	ui32	bd 10 00 00
BUIC	ui8 	51
BUPT	hex_	38 c0 00 00 00 00 00 00
BVCA	hex_	64 00 96 00 c8 00 fa 00 40 06 ff ff
BVHA	hex_	00 00 00 00 00 00 00 00 00 00 00 00
BVVA	hex_	53 11 49 11 35 11 21 11 17 11 e5 10
BVVC		
BVVI	ui8 	02
BVVL	ui16	35 11
BVVM	ui16	35 11
BVVN	ui16	35 11
BVVO	ui16	53 11
BVVP	ui16	35 11
BVVQ	ui16	53 11
BVVR	ui16	35 11
BfDC	ui32	20 cb 00 00
BfRM	ui32	88 a4 00 00
BfSC	ui8 	50
BnDC	ui32	20 cb 00 00
Bvt0	ui8 	01
Bvt1	ui32	89 3c 00 00
Bvt2	flt 	2c 51 79 3f
Bvt3	flt 	00 00 00 00
Bvt4	flt 	20 65 20 be
Bvt5	flt 	00 00 00 00
Bvt6	flt 	00 00 00 00
Bvt7	flt 	85 eb 8d 40
Bvt8	flt 	85 eb 8d 40
Bvt9	ui8 	00
Bvta	hex_	00 00 00 00 da 00 00 00 1e 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Bvtb	ui32	0b 00 00 00
Bvtc	ui8 	00
Bvtd	ui32	00 00 00 00
Bvte	hex_	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Bvtf	flt 	00 00 00 00
Bvtg	flt 	00 00 00 00
Bvth	flt 	00 00 00 00
Bvti	flt 	00 00 00 00
Bvtj	flt 	00 00 00 00
Bvtk	flt 	00 00 00 00
Bvtl	flt 	00 00 00 00
Bvtm	flt 	00 00 00 00
Bvtn	flt 	00 00 00 00
Bvto		
CBCL	ui32	00 00 00 00
CBD0		
CBD1		
CBD2		
CBD3		
CBD4		
CBIV	hex_	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
CBPL	hex_	00 00 00 00 00 00 00 00
CBSC	ui32	00 00 00 00
CBSV	ui32	00 00 00 00
CBTC	ui8 	00
CH0D	hex_	0e 00 00 00
CH0E	hex_	00 00 00 00 00 00 00 00
CH0H	ui64	00 00 00 00 00 00 00 00
CH0R	hex_	00 10 00 10
CH0V	ui32	56 30 00 00
CHA1	ui32	00 00 00 00
CHA2	ui32	00 00 00 00
CHAI	ui32	00 00 00 00
CHAS	ui32	00 00 00 00
CHBI	ui32	00 00 00 00
CHBV	ui32	50 10 00 00
CHCC	ui8 	01
CHCE	ui8 	01
CHCF	hex_	03
CHCR	ui8 	01
CHDB	hex_	00 10
CHFS	ui32	01 00 00 00
CHHC	ui16	00 00
CHHV	ui64	00 00 00 00 00 00 00 00
CHHW	ui32	00 00 00 00
CHI1	ui32	00 00 00 00
CHI2	ui32	00 00 00 00
CHIB	ui8 	00
CHIC	ui8 	00
CHIE	hex_	00
CHIF	ui32	01 00 00 00
CHIL	flag	00
CHIM	ui32	88 13 00 00
CHIO	flag	00
CHIS	ui32	01 00 00 00
CHLT	hex_	50 05 03
CHM2	hex_	00 00 00 00 00 00 00 00 00 00 00 00
CHNC	hex_	00 00 00 01 00 00 00 00
CHND	hex_	00 00 00 00 00 00 00 00 00
CHOC	ui32	00 00 00 00
CHPS	ui32	01 00 00 00
CHRT	ui8 	00
CHSC	ui8 	00
CHSE	ui8 	00
CHSL		
CHST	ui8 	00
CHSW	hex_	00 00 00 00 00 00 00 00
CHTC	ui32	00 00 00 00
CIP0	ui32	79 2d 00 00
CIPC	ui32	00 00 00 00
CIPE	ui8 	00
CIPF	ui8 	00
CIPI	ui32	d6 06 00 00
CIPJ	ui8 	64
CIPP	ui32	b8 88 00 00
CIPR	ui8 	ff
CIPV	ui32	20 4e 00 00
CIPW	ui32	30 75 00 00
CLBT	ui64	c3 a2 ae a7 1a 2e 00 00
CLKM	hex_	eb fc f0 11 ae 01
CLKU	ui64	65 df 86 b2 44 33 00 00
CLKo	hex_	8c 92 fe 31 a8 33
CLSD	ui64	63 21 bf fb b7 31 00 00
CLSP	ui64	88 08 16 99 41 33 00 00
CLWK	ui64	6d 64 69 99 41 33 00 00
CMCR	hex_	f6 fe ff ff 7d ff ff ff
CMR0	si32	f6 fe ff ff
CMR1	si32	7d ff ff ff
D1Ac	hex_	00 00 00 00
D1BD	ui32	00 00 00 0a
D1BI	ui16	dc 05
D1CA	ui16	08 00
D1CD	ui16	08 00
D1CF	ui16	00 16
D1CR	ui16	00 0f
D1CS	ui8 	00
D1CT	ui8 	00
D1CU	ui8 	00
D1CX	ui8 	00
D1CY	ui8 	00
D1CZ	ui8 	00
D1Cb	ui8 	00
D1Cc	ui16	00 00
D1Cf	ui16	02 00
D1Ci	ui16	00 00
D1Cm	ui16	00 00
D1Cn	ui16	00 00
D1Cr	ui16	00 00
D1Cs	ui16	00 00
D1Ct	ui16	00 00
